Designator,Mid X,Mid Y,Rotation,Layer
A1,100.4625,-77.27,90.0,top
D1,88.6875,-105.99,90.0,bottom
D10,260.1375,-105.99,90.0,bottom
D11,279.1875,-105.99,90.0,bottom
D12,298.2375,-105.99,90.0,bottom
D13,317.2875,-105.99,90.0,bottom
D14,345.8625,-105.99,90.0,bottom
D15,93.45,-125.04,90.0,bottom
D16,117.2625,-125.04,90.0,bottom
D17,136.3125,-125.04,90.0,bottom
D18,155.3625,-125.04,90.0,bottom
D19,174.4125,-125.04,90.0,bottom
D2,107.7375,-105.99,90.0,bottom
D20,193.4625,-125.04,90.0,bottom
D21,212.5125,-125.04,90.0,bottom
D22,231.5625,-125.04,90.0,bottom
D23,250.6125,-125.04,90.0,bottom
D24,269.6625,-125.04,90.0,bottom
D25,288.7125,-125.04,90.0,bottom
D26,307.7625,-125.04,90.0,bottom
D27,326.8125,-125.04,90.0,bottom
D28,350.625,-125.04,90.0,bottom
D29,95.8313,-144.09,90.0,bottom
D3,126.7875,-105.99,90.0,bottom
D30,122.025,-144.09,90.0,bottom
D31,141.075,-144.09,90.0,bottom
D32,160.125,-144.09,90.0,bottom
D33,179.175,-144.09,90.0,bottom
D34,198.225,-144.09,90.0,bottom
D35,217.275,-144.09,90.0,bottom
D36,236.325,-144.09,90.0,bottom
D37,255.375,-144.09,90.0,bottom
D38,274.425,-144.09,90.0,bottom
D39,293.475,-144.09,90.0,bottom
D4,145.8375,-105.99,90.0,bottom
D40,312.525,-144.09,90.0,bottom
D41,343.4813,-144.09,90.0,bottom
D42,100.5938,-163.14,90.0,bottom
D43,131.55,-163.14,90.0,bottom
D44,150.6,-163.14,90.0,bottom
D45,169.65,-163.14,90.0,bottom
D46,188.7,-163.14,90.0,bottom
D47,207.75,-163.14,90.0,bottom
D48,226.8,-163.14,90.0,bottom
D49,245.85,-163.14,90.0,bottom
D5,164.8875,-105.99,90.0,bottom
D50,264.9,-163.14,90.0,bottom
D51,283.95,-163.14,90.0,bottom
D52,303.0,-163.14,90.0,bottom
D53,338.7188,-163.14,90.0,bottom
D54,91.0688,-182.19,90.0,bottom
D55,114.8813,-182.19,90.0,bottom
D56,138.6938,-182.19,90.0,bottom
D57,210.1313,-182.19,90.0,bottom
D58,281.5688,-182.19,90.0,bottom
D59,305.3813,-182.19,90.0,bottom
D6,183.9375,-105.99,90.0,bottom
D60,329.1938,-182.19,90.0,bottom
D61,353.0063,-182.19,90.0,bottom
D7,202.9875,-105.99,90.0,bottom
D8,222.0375,-105.99,90.0,bottom
D9,241.0875,-105.99,90.0,bottom
SW14,340.7825,-99.825,0.0,top
SW41,338.4013,-137.925,0.0,top
SW42,95.5138,-156.975,0.0,top
SW53,333.6388,-156.975,0.0,top
SW57,205.0513,-176.025,0.0,top
